종목코드,종목명
20,동화약품
40,KR모터스
50,경방
60,메리츠화재
70,삼양홀딩스
80,하이트진로
100,유한양행
120,CJ대한통운
140,하이트진로홀딩스
150,두산
180,성창기업지주
210,DL
220,유유제약
230,일동홀딩스
240,한국앤컴퍼니
250,삼천당제약
270,기아
300,대유플러스
320,노루홀딩스
370,한화손해보험
390,삼화페인트
400,롯데손해보험
430,대원강업
440,중앙에너비스
480,조선내화
490,대동
500,가온전선
520,삼일제약
540,흥국화재
590,CS홀딩스
640,동아쏘시오홀딩스
650,천일고속
660,SK하이닉스
670,영풍
680,LS네트웍스
700,유수홀딩스
720,현대건설
760,이화산업
810,삼성화재
850,화천기공
860,강남제비스코
880,한화
890,보해양조
910,유니온
950,전방
970,한국주철관
990,DB하이텍
1000,신라섬유
1020,페이퍼코리아
1040,CJ
1060,JW중외제약
1070,대한방직
1080,만호제강
1120,LX인터내셔널
1130,대한제분
1140,국보
1200,유진투자증권
1210,금호전기
1230,동국제강
1250,GS글로벌
1260,남광토건
1270,부국증권
1290,상상인증권
1340,백광산업
1360,삼성제약
1380,SG글로벌
1390,KG케미칼
1420,태원물산
1430,세아베스틸
1440,대한전선
1450,현대해상
1460,BYC
1470,삼부토건
1500,현대차증권
1510,SK증권
1520,동양
1530,DI동일
1540,안국약품
1550,조비
1560,제일연마
1570,금양
1620,케이비아이동국실업
1630,종근당홀딩스
1680,대상
1720,신영증권
1740,SK네트웍스
1750,한양증권
1770,SHD
1780,알루코
1790,대한제당
1800,오리온홀딩스
1810,무림SP
1820,삼화콘덴서
1840,이화공영
1880,DL건설
1940,KISCO홀딩스
2020,코오롱
2030,아세아
2070,비비안
2100,경농
2140,고려산업
2150,도화엔지니어링
2170,삼양통상
2200,한국수출포장
2210,동성제약
2220,한일철강
2230,피에스텍
2240,고려제강
2270,롯데푸드
2290,삼일기업공사
2310,아세아제지
2320,한진
2350,넥센타이어
2360,SH에너지화학
2380,KCC
2390,한독
2410,범양건영
2420,세기상사
2450,삼익악기
2460,화성산업
2600,조흥
2620,제일파마홀딩스
2630,오리엔트바이오
2680,한탑
2690,동일제강
2700,신일전자
2710,TCC스틸
2720,국제약품
2760,보락
2780,진흥기업
2790,아모레G
2800,신신제약
2810,삼영무역
2820,SUN&L
2840,미원상사
2870,신풍제지
2880,대유에이텍
2900,TYM
2920,유성기업
2960,한국쉘석유
2990,금호건설
3000,부광약품
3010,혜인
3030,세아제강지주
3060,에이프로젠제약
3070,코오롱글로벌
3080,성보화학
3090,대웅
3100,선광
3120,일성신약
3160,디아이
3200,일신방직
3220,대원제약
3230,삼양식품
3240,태광산업
3280,흥아해운
3300,한일홀딩스
3310,대주산업
3350,한국화장품제조
3380,하림지주
3410,쌍용C&E
3460,유화증권
3470,유안타증권
3480,한진중공업홀딩스
3490,대한항공
3520,영진약품
3530,한화투자증권
3540,대신증권
3550,LG
3560,IHQ
3570,SNT중공업
3580,넥스트사이언스
3610,방림
3620,쌍용차
3650,미창석유
3670,포스코케미칼
3680,한성기업
3690,코리안리
3720,삼영화학
3780,진양산업
3800,에이스침대
3830,대한화섬
3850,보령제약
3920,남양유업
3960,사조대림
4000,롯데정밀화학
4020,현대제철
4060,SG세계물산
4080,신흥
4090,한국석유
4100,태양금속
4140,동방
4150,한솔홀딩스
4170,신세계
4250,NPC
4270,남성
4310,현대약품
4360,세방
4370,농심
4380,삼익THK
4410,서울식품
4430,송원산업
4440,삼일씨엔에스
4450,삼화왕관
4490,세방전지
4540,깨끗한나라
4560,현대비앤지스틸
4590,한국가구
4650,창해에탄올
4690,삼천리
4700,조광피혁
4710,한솔테크닉스
4720,팜젠사이언스
4770,써니전자
4780,대륙제관
4800,효성
4830,덕성
4840,DRB동일
4870,티웨이홀딩스
4890,동일산업
4910,조광페인트
4920,씨아이테크
4960,한신공영
4970,신라교역
4980,성신양회
4990,롯데지주
5010,휴스틸
5030,부산주공
5070,코스모신소재
5090,SGC에너지
5110,한창
5160,동국산업
5180,빙그레
5250,녹십자홀딩스
5290,동진쎄미켐
5300,롯데칠성
5320,국동
5360,모나미
5380,현대차
5390,신성통상
5420,코스모화학
5430,한국공항
5440,현대그린푸드
5490,POSCO
5500,삼진제약
5610,SPC삼립
5670,푸드웰
5680,삼영전자
5690,파미셀
5710,대원산업
5720,넥센
5740,크라운해태홀딩스
5750,대림B&Co
5800,신영와코루
5810,풍산홀딩스
5820,원림
5830,DB손해보험
5850,에스엘
5860,한일사료
5870,휴니드
5880,대한해운
5930,삼성전자
5940,NH투자증권
5950,이수화학
5960,동부건설
5990,매일홀딩스
6040,동원산업
6050,국영지앤엠
6060,화승인더
6090,사조오양
6110,삼아알미늄
6120,SK디스커버리
6140,피제이전자
6200,한국전자홀딩스
6220,제주은행
6260,LS
6280,녹십자
6340,대원전선
6360,GS건설
6370,대구백화점
6380,카프로
